#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
8.285167049528966432e-01 1.289788248394896364e-02 -3.374359704311764130e+00 -8.587677660070748287e-01 6.089185292130315378e-04 6.737778115496695364e+00 1.480198689865639371e-02
8.874412143317181867e-01 1.151576620352101621e-02 -3.638265170165106532e+00 -6.780115160084491110e-01 1.345870076133105666e-04 7.716870537246643735e+00 1.322877768575588323e-02
9.463657237105399522e-01 2.582787786707807509e-02 -3.844804228520722678e+00 -5.672041402416684308e-01 1.310300978555151326e-03 8.838238640073624808e+00 1.231450682042095277e-02
1.005290233089361829e+00 1.789786214312860668e-02 -3.742028158940963856e+00 -5.525481267611007663e-01 -6.189821379081140908e-04 1.012255704975989978e+01 1.134162455677434865e-02
1.064214742468183372e+00 5.904523145768614256e-03 -3.482658352675601865e+00 -5.244855159570992464e-01 -1.076408373433137113e-03 1.159350470138360301e+01 1.059985120835975521e-02
1.123139251847005138e+00 2.572837537872219027e-02 -3.277998541496876417e+00 -7.042477067711154781e-01 5.953570739297693419e-04 1.327820140704386986e+01 9.837056442695953085e-03
1.182063761225826903e+00 2.408870388837558441e-02 -3.147690015298174604e+00 -8.858006325989745688e-01 -7.033737892140444611e-04 1.520770786291917531e+01 8.755982156182100934e-03
1.240988270604648447e+00 3.276911967513673751e-02 -3.122993905004649573e+00 -9.872018181527913994e-01 -1.803380501082077513e-04 1.741759831427216199e+01 7.735251307911109216e-03
1.299912779983470212e+00 2.053857838888673015e-02 -3.236708770204065999e+00 -9.793687550636179795e-01 5.390545869783856217e-05 1.994861643660631856e+01 6.698292406546135953e-03
1.358837289362291978e+00 2.810390629517489636e-02 -3.387114270554790973e+00 -9.162319792693008891e-01 -1.275220103933549570e-03 2.284742652543305397e+01 5.930028507001383099e-03
