#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-5.535093572942868800e-02 1.191088978346180882e-01 -5.318383643516427783e-01 -2.824959443843428342e-01 9.280736033698418989e-04 8.803372207700188579e-01 4.897800252370913821e-02 5.554552350641246417e-01 9.097915672202847026e-03
3.573573649392941358e-03 1.427787855433572117e-01 -7.319064073957652905e-01 -4.263892642227455343e-01 2.182849142617065454e-03 1.008262404215570562e+00 4.746559150309829361e-02 6.361705691030715704e-01 8.437316870360318799e-03
6.249808302821469735e-02 1.381411415839031154e-01 -1.056689849872230358e+00 -4.726256441990228652e-01 3.412045986943930496e-03 1.154776887503816907e+00 4.362661455673984973e-02 7.286149584065111373e-01 7.459117615007484527e-03
1.214225924070364004e-01 1.696619403747433585e-01 -1.448036137566044435e+00 -2.699399444057412611e-01 4.428794819616378893e-04 1.322581953207384586e+00 4.175230235797728479e-02 8.344927970531584860e-01 6.333948060530200479e-03
1.803471017858580550e-01 1.967912768656846501e-01 -1.928132921304815062e+00 -1.637770038396719474e-01 2.081667552792168530e-03 1.514771417646751717e+00 4.054519143517936602e-02 9.557561511728921433e-01 5.035444541840290548e-03
2.392716111646797927e-01 2.465714378220807967e-01 -2.376803062259690513e+00 -9.211707436818905581e-02 -1.581803447999968184e-03 1.734888671477102129e+00 3.993737072286723117e-02 1.094640749123962697e+00 3.753582148090725979e-03
2.981961205435014750e-01 2.861349038273059975e-01 -2.660291856765845786e+00 -2.322161986755095012e-02 1.190762949055984999e-03 1.986992009061980813e+00 3.954425959545403158e-02 1.253707201541111482e+00 2.642006662925437763e-03
3.571206299223231295e-01 3.282124597785740505e-01 -2.864050054329905670e+00 -1.171747187669501186e-02 1.037142861392348087e-03 2.275729451109206991e+00 3.968650227855700929e-02 1.435888211227232869e+00 1.823614933749521374e-03
4.160451393011448395e-01 3.787065870266149714e-01 -2.978941788970274285e+00 -1.475312581296566727e-01 -5.729142731392871182e-04 2.606424440071446913e+00 3.941872345727254895e-02 1.644542643295754614e+00 1.214530484408002766e-03
4.749696486799664941e-01 3.914019162446469302e-01 -2.930505748877414440e+00 -2.531308714909136226e-01 -1.772209649389261616e-03 2.985173988274651524e+00 3.812908738146434523e-02 1.883517452453121521e+00 8.125830767477096100e-04
