#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
1.214225924070364004e-01 3.158534660194781685e-01 -2.796900605214196034e+00 -3.130389253438962127e-01 5.383238845562379922e-03 1.322581953207384586e+00 1.000364123869087324e-01
1.803471017858580550e-01 3.932548302696657894e-01 -2.971169446901483990e+00 -1.544411803882526912e-01 1.243008636846775102e-02 1.514771417646751717e+00 9.671647761895404982e-02
2.392716111646797927e-01 4.648484798576633104e-01 -2.802182416187425584e+00 -4.559103691253530988e-01 -8.411630849557833606e-03 1.734888671477102129e+00 9.593064547124355301e-02
2.981961205435014750e-01 4.950181030133169457e-01 -2.829828987676575203e+00 -5.498121358698960792e-01 -1.790423867445866844e-03 1.986992009061980813e+00 8.546176968268420771e-02
3.571206299223231295e-01 5.559281171033711999e-01 -3.053642532342854654e+00 -5.241560937771935214e-01 4.662254888261282461e-03 2.275729451109206991e+00 8.263471734761218546e-02
4.160451393011448395e-01 6.309939105393211900e-01 -3.086819354681960448e+00 -6.313393108719271840e-01 8.354397644892957997e-03 2.606424440071446913e+00 7.413112659952968142e-02
4.749696486799664941e-01 6.917209467775264908e-01 -3.323600851550638779e+00 -6.024688206094789278e-01 7.215431925705668601e-04 2.985173988274651524e+00 6.962413740978193322e-02
5.338941580587880376e-01 7.476384799348947396e-01 -3.392400286403664200e+00 -8.228091486453618097e-01 2.287059823618980449e-03 3.418961088328082099e+00 6.295065321455513285e-02
5.928186674376098031e-01 7.909594387723775100e-01 -3.398336749722165262e+00 -8.577673870258881728e-01 -6.507089536155498226e-03 3.915783458322857236e+00 5.569196952826079017e-02
6.517431768164315686e-01 8.310314194119021725e-01 -3.541638582493324527e+00 -6.593109590455500379e-01 -5.071701231187024025e-03 4.484800995489870878e+00 4.987847836906806470e-02
7.106676861952531121e-01 8.708829952639866034e-01 -3.420792571917863789e+00 -7.458605445241957010e-01 2.357116716124657649e-03 5.136504656915215961e+00 4.656862631444879524e-02
7.695921955740748777e-01 9.027329998970683445e-01 -3.453942784463639892e+00 -1.128583558645066098e+00 -6.178679266109377878e-03 5.882909880961139315e+00 4.073936569142706798e-02
8.285167049528966432e-01 9.178355950196688262e-01 -3.624789297446104008e+00 -1.178239249775958619e+00 -1.696275546479899653e-03 6.737778115496695364e+00 3.428395862353987578e-02
8.874412143317181867e-01 9.351908034345055576e-01 -3.639821401547683521e+00 -9.783135426647968647e-01 8.084252770716690876e-04 7.716870537246643735e+00 2.959101917053078012e-02
9.463657237105399522e-01 9.517776630764923640e-01 -3.821232472852154061e+00 -9.634387933650081504e-01 -3.989865467130020854e-03 8.838238640073624808e+00 2.629042890246519742e-02
1.005290233089361829e+00 9.628090029419622553e-01 -3.609918582537971155e+00 -1.381927595277764764e+00 1.419902670783169040e-03 1.012255704975989978e+01 2.278345623430180766e-02
1.064214742468183372e+00 9.697945801209747474e-01 -3.736074526266095042e+00 -1.337125832017431959e+00 8.252263668194489239e-04 1.159350470138360301e+01 1.806919730488379741e-02
1.123139251847005138e+00 9.784910857348937396e-01 -4.096778650981373282e+00 -1.358780828301269450e+00 -4.658313776483598637e-03 1.327820140704386986e+01 1.585041507764583038e-02
1.182063761225826903e+00 9.812535764744794164e-01 -3.662132173770906274e+00 -1.577235080442482174e+00 -4.001375786829059963e-03 1.520770786291917531e+01 1.249706051507725423e-02
1.240988270604648447e+00 9.863928760607750812e-01 -3.683382292308859718e+00 -1.482481315551697376e+00 1.545359490584227811e-03 1.741759831427216199e+01 1.033153932444987391e-02
1.299912779983470212e+00 9.899224761835604403e-01 -3.864409687687509809e+00 -1.477778869590462785e+00 -1.328694703912890272e-03 1.994861643660631856e+01 8.357933367502417069e-03
