#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
3.573573649392941358e-03 2.384340936159458080e-01 -2.274494156946304635e+00 -4.683975357113805138e-02 8.551053128884453973e-04 1.008262404215570562e+00 7.073020632958737508e-02 1.269327162423664168e+00 1.589557309879547492e-02
6.249808302821469735e-02 2.751738361252170639e-01 -2.409123709552224657e+00 -2.427546867545378809e-02 2.947901603964848787e-03 1.154776887503816907e+00 7.123093263639604378e-02 1.453777968631129403e+00 1.161792609326865386e-02
1.214225924070364004e-01 3.220845214843125470e-01 -2.647370542926513526e+00 -2.036836008111717888e-01 -5.681240066229330341e-04 1.322581953207384586e+00 7.026581449702554161e-02 1.665032030073140712e+00 8.267292917622870788e-03
1.803471017858580550e-01 3.525049428302147181e-01 -2.748417007764238917e+00 -2.548024527095530400e-01 -1.488892696184124361e-03 1.514771417646751717e+00 6.740074829352489527e-02 1.906984230734971364e+00 5.664200117004397801e-03
2.392716111646797927e-01 4.091810763979419896e-01 -2.775644770973142883e+00 -2.515736295869877570e-01 -4.310544541277141627e-04 1.734888671477102129e+00 6.557161281191822844e-02 2.184095435156346632e+00 3.921616108637249534e-03
2.981961205435014750e-01 4.579751550998945042e-01 -2.954473623955943484e+00 -3.641854194214472207e-01 -8.970026866452819082e-04 1.986992009061980813e+00 6.295308432130192200e-02 2.501474733240073967e+00 2.667052569091039535e-03
3.571206299223231295e-01 5.269545636084482787e-01 -3.154105402535960057e+00 -3.997425758225453540e-01 -1.878041864139544208e-03 2.275729451109206991e+00 5.940143976182140489e-02 2.864973636369772425e+00 1.759070560190423944e-03
4.160451393011448395e-01 5.889519136384686604e-01 -3.337104281090718771e+00 -3.620317324310236007e-01 -7.723557779379423231e-04 2.606424440071446913e+00 5.648169775217935784e-02 3.281293961527328218e+00 1.133243793502607078e-03
4.749696486799664941e-01 6.501251744155891465e-01 -3.382029905403616254e+00 -3.599407626415707107e-01 1.494843856559409812e-03 2.985173988274651524e+00 5.384332697125221445e-02 3.758111392465902423e+00 7.112279172358598961e-04
5.338941580587880376e-01 6.991211764415024010e-01 -3.348277225922626776e+00 -4.306593909925131580e-01 2.162348604158983393e-03 3.418961088328082099e+00 5.122583859502658626e-02 4.304216996031664522e+00 4.526415772689053579e-04
5.928186674376098031e-01 7.429926865788007984e-01 -3.308907526668508847e+00 -5.992841986750860883e-01 1.187738161883118487e-03 3.915783458322857236e+00 4.790480761552384781e-02 4.929679302765891613e+00 2.866933436052886727e-04
