#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
1.214225924070364004e-01 2.355154879541129231e-01 -2.639264264821183925e+00 -2.378217205534600698e-01 -7.187196994552442000e-04 1.322581953207384586e+00 5.245533936813727427e-03
1.803471017858580550e-01 3.215402878057481706e-01 -2.535697506947047764e+00 -8.736010443012771909e-02 -1.708861849735774470e-04 1.514771417646751717e+00 5.227014650389945338e-03
2.392716111646797927e-01 3.956175743343784967e-01 -2.891344472820202682e+00 3.360947316574609822e-02 -4.775352727353961851e-04 1.734888671477102129e+00 5.122646630979051791e-03
2.981961205435014750e-01 4.652511134861684328e-01 -3.165127491052750930e+00 -1.019134765301955015e-01 -4.270343020669034421e-03 1.986992009061980813e+00 5.274904007689523028e-03
3.571206299223231295e-01 4.913587322460244433e-01 -3.014970272052535094e+00 -5.172943617571270497e-02 1.502038515029667379e-03 2.275729451109206991e+00 4.982920925012616041e-03
4.160451393011448395e-01 5.469901514125995456e-01 -2.917743735664501958e+00 1.668708298066927664e-01 6.848702996464099734e-04 2.606424440071446913e+00 5.201376575534626644e-03
4.749696486799664941e-01 6.471727051913707118e-01 -2.950333791336984035e+00 -2.320866342781883196e-01 -1.554339327276709056e-03 2.985173988274651524e+00 5.213742268914207251e-03
5.338941580587880376e-01 6.797882763194003086e-01 -2.745256096281070590e+00 -4.895295098464979566e-01 3.051140316353992410e-03 3.418961088328082099e+00 4.883903962712622497e-03
5.928186674376098031e-01 6.955401987702842792e-01 -2.905034785244919870e+00 -6.339991824177902968e-01 6.180249819217141678e-03 3.915783458322857236e+00 4.565191358160540849e-03
6.517431768164315686e-01 7.267859462007628668e-01 -3.140672686188164864e+00 -4.621151183374332949e-01 1.175891311725084203e-03 4.484800995489870878e+00 4.111979433579425816e-03
7.106676861952531121e-01 7.765212003697496979e-01 -2.971265531591409825e+00 -3.392428504146025037e-01 -1.591397197078128810e-03 5.136504656915215961e+00 4.027162676729015636e-03
7.695921955740748777e-01 8.158452147788968212e-01 -2.952509949719204219e+00 -4.017249434722526269e-01 2.545795187758906081e-03 5.882909880961139315e+00 3.750347381729975116e-03
8.285167049528966432e-01 8.418404311327710721e-01 -3.002386000020164758e+00 -5.510535775783620416e-01 7.562161407177827883e-04 6.737778115496695364e+00 3.611239422915916725e-03
8.874412143317181867e-01 8.600186963912863636e-01 -3.095600092605781395e+00 -6.387644488570644041e-01 1.552264358619270162e-03 7.716870537246643735e+00 3.229463447644872684e-03
9.463657237105399522e-01 8.795356621131497077e-01 -3.272366668864219008e+00 -5.601810687773794983e-01 -1.481751118219767427e-03 8.838238640073624808e+00 3.036536594323241498e-03
1.005290233089361829e+00 8.966030705960016389e-01 -3.237513045208001650e+00 -6.174198445958601900e-01 -1.246473099711880141e-04 1.012255704975989978e+01 2.774045525527582112e-03
1.064214742468183372e+00 9.176346595392355088e-01 -2.600950231559409076e+00 -7.646411910501487164e-01 1.578713331569810488e-03 1.159350470138360301e+01 2.568125223913112539e-03
1.123139251847005138e+00 9.182552216034673975e-01 -2.704829816706452839e+00 -8.718565507790858593e-01 1.916079464519374357e-04 1.327820140704386986e+01 2.254246323462051529e-03
1.182063761225826903e+00 9.329724976151507754e-01 -2.850855381215499751e+00 -1.057701336497106848e+00 1.373008365544798205e-03 1.520770786291917531e+01 2.027070052252327205e-03
1.240988270604648447e+00 9.399277173667404117e-01 -2.957341527366817324e+00 -9.945689331018453538e-01 3.586578655529308341e-04 1.741759831427216199e+01 1.691812795919698858e-03
1.299912779983470212e+00 9.474945081036725281e-01 -3.163007369561228632e+00 -8.260089323831567576e-01 4.438765132769989779e-04 1.994861643660631856e+01 1.547603789990702455e-03
1.358837289362291978e+00 9.523313000867603684e-01 -3.071374282107190989e+00 -1.145913139768554689e+00 -9.023933686030712747e-04 2.284742652543305397e+01 1.352097355039779932e-03
